PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103537746,44433977,Active,,,,13.9,IC50,=,13900,nM
2,103537747,44433978,Active,,,,7.1,IC50,=,7100,nM
3,312356666,118712957,Unspecified,,,,20,IC50,>,20000,nM
4,312356667,118712958,Unspecified,,,,20,IC50,>,20000,nM
5,312356668,118712959,Unspecified,,,,20,IC50,>,20000,nM
6,312356669,118712960,Unspecified,,,,20,IC50,>,20000,nM
7,312356670,118712961,Unspecified,,,,20,IC50,>,20000,nM
8,312356671,118712962,Unspecified,,,,20,IC50,>,20000,nM
9,312356672,118712963,Unspecified,,,,20,IC50,>,20000,nM
10,312356673,118712964,Active,,,,17.2,IC50,=,17200,nM
11,312356674,118712965,Unspecified,,,,20,IC50,>,20000,nM
12,312356675,118712966,Unspecified,,,,20,IC50,>,20000,nM
13,312356676,118712967,Unspecified,,,,20,IC50,>,20000,nM
14,312356677,118712968,Unspecified,,,,20,IC50,>,20000,nM
15,312356678,91884577,Active,,,,1.9,IC50,=,1900,nM
16,312356679,118712969,Active,,,,7.2,IC50,=,7200,nM
17,312356680,118712970,Active,,,,4.3,IC50,=,4300,nM
18,312356681,118712971,Unspecified,,,,20,IC50,>,20000,nM
19,312356682,118712972,Unspecified,,,,20,IC50,>,20000,nM
20,312356683,118712973,Unspecified,,,,20,IC50,>,20000,nM
21,312356684,118712974,Unspecified,,,,20,IC50,>,20000,nM
22,312356685,118712975,Unspecified,,,,20,IC50,>,20000,nM
23,312356686,118712976,Unspecified,,,,20,IC50,>,20000,nM
24,312356687,118712977,Unspecified,,,,20,IC50,>,20000,nM
25,312356688,118712978,Unspecified,,,,20,IC50,>,20000,nM
26,312356689,118712979,Active,,,,16.6,IC50,=,16600,nM
