PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
94391,Unspecified,
3385,Active,
118719412,Active,
118719413,Unspecified,
118719414,Active,
118719415,Active,
118719416,Active,
118724735,Active,
118724736,Unspecified,
118724737,Active,
118724738,Unspecified,
118724739,Unspecified,
118724740,Active,
118724741,Unspecified,
118724742,Unspecified,
118724743,Unspecified,
118724744,Active,
118724745,Active,
118724746,Active,
118724747,Active,
118724748,Active,
118724749,Unspecified,
118724750,Active,
118724751,Active,
118724752,Active,
118724753,Active,
118724754,Active,
118724755,Active,
118724756,Active,
118724757,Active,
118724758,Active,
118724759,Active,
118724760,Unspecified,
118724761,Active,
